actual_rul,predicted_rul,status,risk,maintenance
158,145.39546,great,no risk, No maintenance required
157,146.72949,great,no risk, No maintenance required
156,145.58546,great,no risk, No maintenance required
155,142.70067,great,no risk, No maintenance required
154,142.25815,great,no risk, No maintenance required
153,142.82645,great,no risk, No maintenance required
152,142.13004,great,no risk, No maintenance required
151,143.45303,great,no risk, No maintenance required
150,143.64375,great,no risk, No maintenance required
149,142.40652,great,no risk, No maintenance required
148,141.08444,great,no risk, No maintenance required
147,144.27963,great,no risk, No maintenance required
146,146.35664,great,no risk, No maintenance required
145,144.20563,great,no risk, No maintenance required
144,146.27574,great,no risk, No maintenance required
143,146.70348,great,no risk, No maintenance required
142,139.54573,great,no risk, No maintenance required
141,135.23756,great,no risk, No maintenance required
140,137.90408,great,no risk, No maintenance required
139,137.45024,great,no risk, No maintenance required
138,137.58638,great,no risk, No maintenance required
137,141.54665,great,no risk, No maintenance required
136,137.92552,great,no risk, No maintenance required
135,137.93428,great,no risk, No maintenance required
134,135.8689,great,no risk, No maintenance required
133,138.08788,great,no risk, No maintenance required
132,139.80202,great,no risk, No maintenance required
131,139.3543,great,no risk, No maintenance required
130,136.24335,great,no risk, No maintenance required
129,137.8187,great,no risk, No maintenance required
128,141.7567,great,no risk, No maintenance required
127,141.38252,great,no risk, No maintenance required
126,140.42778,great,no risk, No maintenance required
125,137.24835,great,no risk, No maintenance required
124,135.53746,great,no risk, No maintenance required
123,137.023,great,no risk, No maintenance required
122,136.29637,great,no risk, No maintenance required
121,135.94368,great,no risk, No maintenance required
120,136.30696,great,no risk, No maintenance required
119,136.78955,great,no risk, No maintenance required
118,136.11906,great,no risk, No maintenance required
117,133.83545,great,no risk, No maintenance required
116,132.66327,great,no risk, No maintenance required
115,130.23431,great,no risk, No maintenance required
114,128.09348,great,no risk, No maintenance required
113,128.34413,great,no risk, No maintenance required
112,131.01692,great,no risk, No maintenance required
111,130.77611,great,no risk, No maintenance required
110,130.91106,great,no risk, No maintenance required
109,131.3083,great,no risk, No maintenance required
108,131.22382,great,no risk, No maintenance required
107,132.8213,great,no risk, No maintenance required
106,134.72118,great,no risk, No maintenance required
105,135.32356,great,no risk, No maintenance required
104,132.82506,great,no risk, No maintenance required
103,134.45364,great,no risk, No maintenance required
102,132.65068,great,no risk, No maintenance required
101,129.60446,great,no risk, No maintenance required
100,128.16496,great,no risk, No maintenance required
99,132.5593,great,no risk, No maintenance required
98,130.85857,great,no risk, No maintenance required
97,129.60735,great,no risk, No maintenance required
96,127.05858,great,no risk, No maintenance required
95,128.93626,great,no risk, No maintenance required
94,129.76685,great,no risk, No maintenance required
93,132.43517,great,no risk, No maintenance required
92,136.10571,great,no risk, No maintenance required
91,131.0456,great,no risk, No maintenance required
90,129.07405,great,no risk, No maintenance required
89,127.14438,great,no risk, No maintenance required
88,127.097534,great,no risk, No maintenance required
87,125.73753,great,no risk, No maintenance required
86,122.35448,great,no risk, No maintenance required
85,120.63265,great,no risk, No maintenance required
84,122.88924,great,no risk, No maintenance required
83,123.87346,great,no risk, No maintenance required
82,123.34356,great,no risk, No maintenance required
81,124.93864,great,no risk, No maintenance required
80,125.68491,great,no risk, No maintenance required
79,124.14993,great,no risk, No maintenance required
78,127.38719,great,no risk, No maintenance required
77,128.13316,great,no risk, No maintenance required
76,125.498764,great,no risk, No maintenance required
75,119.63377,great,no risk, No maintenance required
74,116.87288,great,no risk, No maintenance required
73,114.17296,great,no risk, No maintenance required
72,110.362595,great,no risk, No maintenance required
71,106.78844,great,no risk, No maintenance required
70,109.978134,great,no risk, No maintenance required
69,104.83176,great,no risk, No maintenance required
68,106.810715,great,no risk, No maintenance required
67,105.569885,great,no risk, No maintenance required
66,102.319695,great,no risk, No maintenance required
65,102.32628,great,no risk, No maintenance required
64,104.905876,great,no risk, No maintenance required
63,111.23761,great,no risk, No maintenance required
62,110.37306,great,no risk, No maintenance required
61,110.576744,great,no risk, No maintenance required
60,100.97925,great,no risk, No maintenance required
59,102.67462,great,no risk, No maintenance required
58,107.68013,great,no risk, No maintenance required
57,105.70761,great,no risk, No maintenance required
56,100.18601,great,no risk, No maintenance required
55,92.63042,good, medium risk,continue monitoring
54,88.09964,good, medium risk,continue monitoring
53,83.48485,good, medium risk,continue monitoring
52,77.823395,good, medium risk,continue monitoring
51,77.82021,good, medium risk,continue monitoring
50,77.10632,good, medium risk,continue monitoring
49,79.10756,good, medium risk,continue monitoring
48,78.083786,good, medium risk,continue monitoring
47,77.03921,good, medium risk,continue monitoring
46,76.368774,good, medium risk,continue monitoring
45,82.74118,good, medium risk,continue monitoring
44,90.691025,good, medium risk,continue monitoring
43,91.61853,good, medium risk,continue monitoring
42,85.67247,good, medium risk,continue monitoring
41,79.67511,good, medium risk,continue monitoring
40,72.154755,good, medium risk,continue monitoring
39,64.73695,good, medium risk,continue monitoring
38,58.69934,not good, high risk, need maintenance
37,49.9949,not good, high risk, need maintenance
36,43.88729,not good, high risk, need maintenance
35,42.165,not good, high risk, need maintenance
34,40.474476,not good, high risk, need maintenance
33,44.777145,not good, high risk, need maintenance
32,47.209026,not good, high risk, need maintenance
31,55.658386,not good, high risk, need maintenance
30,54.885406,not good, high risk, need maintenance
29,60.713547,good, medium risk,continue monitoring
28,61.953293,good, medium risk,continue monitoring
27,56.43587,not good, high risk, need maintenance
26,52.146545,not good, high risk, need maintenance
25,41.88742,not good, high risk, need maintenance
24,36.745975,not good, high risk, need maintenance
23,32.010914,not good, high risk, need maintenance
22,29.70839,extremely bad, very high risk, immediate maintenance required
21,29.736555,extremely bad, very high risk, immediate maintenance required
20,29.851198,extremely bad, very high risk, immediate maintenance required
19,28.615688,extremely bad, very high risk, immediate maintenance required
18,28.109638,extremely bad, very high risk, immediate maintenance required
17,27.511032,extremely bad, very high risk, immediate maintenance required
16,26.352402,extremely bad, very high risk, immediate maintenance required
15,25.240227,extremely bad, very high risk, immediate maintenance required
14,23.759172,extremely bad, very high risk, immediate maintenance required
13,22.54988,extremely bad, very high risk, immediate maintenance required
12,21.605173,extremely bad, very high risk, immediate maintenance required
11,20.541132,extremely bad, very high risk, immediate maintenance required
10,19.271416,extremely bad, very high risk, immediate maintenance required
9,17.814283,extremely bad, very high risk, immediate maintenance required
8,16.259695,extremely bad, very high risk, immediate maintenance required
7,16.335283,extremely bad, very high risk, immediate maintenance required
6,15.129057,extremely bad, very high risk, immediate maintenance required
5,13.6212,extremely bad, very high risk, immediate maintenance required
4,13.034055,extremely bad, very high risk, immediate maintenance required
3,12.338998,extremely bad, very high risk, immediate maintenance required
2,11.915962,extremely bad, very high risk, immediate maintenance required
1,11.390775,extremely bad, very high risk, immediate maintenance required
0,10.93193,extremely bad, very high risk, immediate maintenance required
209,162.80998,great,no risk, No maintenance required
208,160.79529,great,no risk, No maintenance required
207,159.29884,great,no risk, No maintenance required
206,161.26964,great,no risk, No maintenance required
205,159.92554,great,no risk, No maintenance required
204,158.92671,great,no risk, No maintenance required
203,157.81189,great,no risk, No maintenance required
202,158.71841,great,no risk, No maintenance required
201,160.19083,great,no risk, No maintenance required
200,158.84027,great,no risk, No maintenance required
199,157.45459,great,no risk, No maintenance required
198,159.30554,great,no risk, No maintenance required
197,157.91745,great,no risk, No maintenance required
196,158.54257,great,no risk, No maintenance required
195,158.80716,great,no risk, No maintenance required
194,161.60175,great,no risk, No maintenance required
193,162.6956,great,no risk, No maintenance required
192,158.04005,great,no risk, No maintenance required
191,154.84642,great,no risk, No maintenance required
190,156.63594,great,no risk, No maintenance required
189,157.58598,great,no risk, No maintenance required
188,157.14215,great,no risk, No maintenance required
187,157.18181,great,no risk, No maintenance required
186,157.28941,great,no risk, No maintenance required
185,156.89333,great,no risk, No maintenance required
184,155.96297,great,no risk, No maintenance required
183,153.72693,great,no risk, No maintenance required
182,155.34363,great,no risk, No maintenance required
181,154.93053,great,no risk, No maintenance required
180,152.49153,great,no risk, No maintenance required
179,150.83128,great,no risk, No maintenance required
178,150.8279,great,no risk, No maintenance required
177,152.58832,great,no risk, No maintenance required
176,154.28462,great,no risk, No maintenance required
175,154.67943,great,no risk, No maintenance required
174,151.8577,great,no risk, No maintenance required
173,151.12088,great,no risk, No maintenance required
172,152.60542,great,no risk, No maintenance required
171,152.09186,great,no risk, No maintenance required
170,150.27309,great,no risk, No maintenance required
169,148.78053,great,no risk, No maintenance required
168,148.77606,great,no risk, No maintenance required
167,146.12141,great,no risk, No maintenance required
166,148.80305,great,no risk, No maintenance required
165,148.62212,great,no risk, No maintenance required
164,150.57841,great,no risk, No maintenance required
163,147.31108,great,no risk, No maintenance required
162,147.61847,great,no risk, No maintenance required
161,148.06091,great,no risk, No maintenance required
160,147.08365,great,no risk, No maintenance required
159,146.70528,great,no risk, No maintenance required
158,147.53253,great,no risk, No maintenance required
157,147.57188,great,no risk, No maintenance required
156,144.30438,great,no risk, No maintenance required
155,141.03572,great,no risk, No maintenance required
154,141.76529,great,no risk, No maintenance required
153,139.96962,great,no risk, No maintenance required
152,142.72697,great,no risk, No maintenance required
151,142.87437,great,no risk, No maintenance required
150,140.68246,great,no risk, No maintenance required
149,141.59418,great,no risk, No maintenance required
148,140.55302,great,no risk, No maintenance required
147,140.78069,great,no risk, No maintenance required
146,139.87596,great,no risk, No maintenance required
145,141.09741,great,no risk, No maintenance required
144,142.34781,great,no risk, No maintenance required
143,143.14058,great,no risk, No maintenance required
142,143.04327,great,no risk, No maintenance required
141,141.10484,great,no risk, No maintenance required
140,141.9374,great,no risk, No maintenance required
139,141.2679,great,no risk, No maintenance required
138,143.04187,great,no risk, No maintenance required
137,141.47186,great,no risk, No maintenance required
136,138.71634,great,no risk, No maintenance required
135,139.36809,great,no risk, No maintenance required
134,138.66852,great,no risk, No maintenance required
133,139.73091,great,no risk, No maintenance required
132,143.49834,great,no risk, No maintenance required
131,142.66386,great,no risk, No maintenance required
130,142.45784,great,no risk, No maintenance required
129,142.07124,great,no risk, No maintenance required
128,140.83757,great,no risk, No maintenance required
127,140.85896,great,no risk, No maintenance required
126,140.94319,great,no risk, No maintenance required
125,137.87392,great,no risk, No maintenance required
124,138.82838,great,no risk, No maintenance required
123,139.07422,great,no risk, No maintenance required
122,136.65175,great,no risk, No maintenance required
121,133.76129,great,no risk, No maintenance required
120,132.39159,great,no risk, No maintenance required
119,133.0088,great,no risk, No maintenance required
118,130.93182,great,no risk, No maintenance required
117,130.11476,great,no risk, No maintenance required
116,128.59373,great,no risk, No maintenance required
115,128.26384,great,no risk, No maintenance required
114,128.2678,great,no risk, No maintenance required
113,130.23958,great,no risk, No maintenance required
112,131.3577,great,no risk, No maintenance required
111,129.59254,great,no risk, No maintenance required
110,127.733765,great,no risk, No maintenance required
109,129.15129,great,no risk, No maintenance required
108,131.87164,great,no risk, No maintenance required
107,133.75829,great,no risk, No maintenance required
106,132.88522,great,no risk, No maintenance required
105,130.69768,great,no risk, No maintenance required
104,126.3194,great,no risk, No maintenance required
103,127.41042,great,no risk, No maintenance required
102,127.98672,great,no risk, No maintenance required
101,127.668846,great,no risk, No maintenance required
100,126.02789,great,no risk, No maintenance required
99,124.82885,great,no risk, No maintenance required
98,122.71703,great,no risk, No maintenance required
97,124.76758,great,no risk, No maintenance required
96,123.87007,great,no risk, No maintenance required
95,121.94809,great,no risk, No maintenance required
94,115.99819,great,no risk, No maintenance required
93,116.98332,great,no risk, No maintenance required
92,113.60956,great,no risk, No maintenance required
91,107.09314,great,no risk, No maintenance required
90,100.56686,great,no risk, No maintenance required
89,107.34821,great,no risk, No maintenance required
88,110.76671,great,no risk, No maintenance required
87,111.2192,great,no risk, No maintenance required
86,108.30531,great,no risk, No maintenance required
85,109.58037,great,no risk, No maintenance required
84,113.16809,great,no risk, No maintenance required
83,116.38454,great,no risk, No maintenance required
82,116.38725,great,no risk, No maintenance required
81,113.049225,great,no risk, No maintenance required
80,112.04176,great,no risk, No maintenance required
79,106.028946,great,no risk, No maintenance required
78,105.38512,great,no risk, No maintenance required
77,103.229294,great,no risk, No maintenance required
76,105.003235,great,no risk, No maintenance required
75,105.36229,great,no risk, No maintenance required
74,98.379105,good, medium risk,continue monitoring
73,96.27812,good, medium risk,continue monitoring
72,93.57339,good, medium risk,continue monitoring
71,88.26908,good, medium risk,continue monitoring
70,89.93231,good, medium risk,continue monitoring
69,92.33606,good, medium risk,continue monitoring
68,89.95019,good, medium risk,continue monitoring
67,91.75301,good, medium risk,continue monitoring
66,94.250404,good, medium risk,continue monitoring
65,93.30734,good, medium risk,continue monitoring
64,91.92247,good, medium risk,continue monitoring
63,92.481285,good, medium risk,continue monitoring
62,89.30169,good, medium risk,continue monitoring
61,88.00616,good, medium risk,continue monitoring
60,81.76232,good, medium risk,continue monitoring
59,76.41401,good, medium risk,continue monitoring
58,69.487015,good, medium risk,continue monitoring
57,65.41115,good, medium risk,continue monitoring
56,59.999897,not good, high risk, need maintenance
55,52.37798,not good, high risk, need maintenance
54,48.412685,not good, high risk, need maintenance
53,47.608177,not good, high risk, need maintenance
52,50.88426,not good, high risk, need maintenance
51,47.05607,not good, high risk, need maintenance
50,48.643753,not good, high risk, need maintenance
49,47.77693,not good, high risk, need maintenance
48,51.249546,not good, high risk, need maintenance
47,54.241577,not good, high risk, need maintenance
46,58.5325,not good, high risk, need maintenance
45,57.693573,not good, high risk, need maintenance
44,51.16358,not good, high risk, need maintenance
43,47.0592,not good, high risk, need maintenance
42,44.603676,not good, high risk, need maintenance
41,39.33055,not good, high risk, need maintenance
40,35.312347,not good, high risk, need maintenance
39,32.95646,not good, high risk, need maintenance
38,32.7155,not good, high risk, need maintenance
37,34.403633,not good, high risk, need maintenance
36,36.200302,not good, high risk, need maintenance
35,36.683537,not good, high risk, need maintenance
34,36.568153,not good, high risk, need maintenance
33,36.56884,not good, high risk, need maintenance
32,37.122322,not good, high risk, need maintenance
31,36.740894,not good, high risk, need maintenance
30,36.685997,not good, high risk, need maintenance
29,33.94707,not good, high risk, need maintenance
28,34.569653,not good, high risk, need maintenance
27,33.036194,not good, high risk, need maintenance
26,30.86437,not good, high risk, need maintenance
25,29.224127,extremely bad, very high risk, immediate maintenance required
24,29.270693,extremely bad, very high risk, immediate maintenance required
23,28.992647,extremely bad, very high risk, immediate maintenance required
22,29.602234,extremely bad, very high risk, immediate maintenance required
21,30.063202,not good, high risk, need maintenance
20,29.536879,extremely bad, very high risk, immediate maintenance required
19,28.498178,extremely bad, very high risk, immediate maintenance required
18,27.368004,extremely bad, very high risk, immediate maintenance required
17,25.839855,extremely bad, very high risk, immediate maintenance required
16,24.540585,extremely bad, very high risk, immediate maintenance required
15,23.605783,extremely bad, very high risk, immediate maintenance required
14,22.621664,extremely bad, very high risk, immediate maintenance required
13,21.307312,extremely bad, very high risk, immediate maintenance required
12,20.183521,extremely bad, very high risk, immediate maintenance required
11,18.73304,extremely bad, very high risk, immediate maintenance required
10,17.780018,extremely bad, very high risk, immediate maintenance required
9,16.33502,extremely bad, very high risk, immediate maintenance required
8,14.826171,extremely bad, very high risk, immediate maintenance required
7,13.770031,extremely bad, very high risk, immediate maintenance required
6,13.403538,extremely bad, very high risk, immediate maintenance required
5,12.802993,extremely bad, very high risk, immediate maintenance required
4,12.157595,extremely bad, very high risk, immediate maintenance required
3,11.337139,extremely bad, very high risk, immediate maintenance required
2,11.047116,extremely bad, very high risk, immediate maintenance required
1,10.776314,extremely bad, very high risk, immediate maintenance required
0,10.486461,extremely bad, very high risk, immediate maintenance required
176,168.50462,great,no risk, No maintenance required
175,165.5602,great,no risk, No maintenance required
174,163.80142,great,no risk, No maintenance required
173,162.3803,great,no risk, No maintenance required
172,161.47206,great,no risk, No maintenance required
171,161.42381,great,no risk, No maintenance required
170,162.60805,great,no risk, No maintenance required
169,162.37318,great,no risk, No maintenance required
168,165.65645,great,no risk, No maintenance required
167,163.75587,great,no risk, No maintenance required
166,161.71342,great,no risk, No maintenance required
165,162.19939,great,no risk, No maintenance required
164,163.43773,great,no risk, No maintenance required
163,161.62608,great,no risk, No maintenance required
162,162.52257,great,no risk, No maintenance required
161,162.35965,great,no risk, No maintenance required
160,161.74017,great,no risk, No maintenance required
159,158.98354,great,no risk, No maintenance required
158,159.90117,great,no risk, No maintenance required
157,159.04393,great,no risk, No maintenance required
156,157.82324,great,no risk, No maintenance required
