actual_rul,predicted_rul,status,risk,maintenance
125,119.30681,great,no risk, No maintenance required
125,121.526886,great,no risk, No maintenance required
125,120.046814,great,no risk, No maintenance required
125,117.44366,great,no risk, No maintenance required
125,118.472824,great,no risk, No maintenance required
125,118.87877,great,no risk, No maintenance required
125,117.88494,great,no risk, No maintenance required
125,119.51079,great,no risk, No maintenance required
125,119.06151,great,no risk, No maintenance required
125,118.169815,great,no risk, No maintenance required
125,117.8123,great,no risk, No maintenance required
125,121.75249,great,no risk, No maintenance required
125,122.58217,great,no risk, No maintenance required
125,119.79922,great,no risk, No maintenance required
125,123.49734,great,no risk, No maintenance required
125,123.061905,great,no risk, No maintenance required
125,116.0309,great,no risk, No maintenance required
125,114.39097,great,no risk, No maintenance required
125,118.091774,great,no risk, No maintenance required
125,116.020615,great,no risk, No maintenance required
125,116.88166,great,no risk, No maintenance required
125,120.53624,great,no risk, No maintenance required
125,114.85643,great,no risk, No maintenance required
125,116.25897,great,no risk, No maintenance required
125,114.71977,great,no risk, No maintenance required
125,118.07277,great,no risk, No maintenance required
125,118.63588,great,no risk, No maintenance required
125,117.96538,great,no risk, No maintenance required
125,115.385956,great,no risk, No maintenance required
125,118.42043,great,no risk, No maintenance required
125,121.66933,great,no risk, No maintenance required
125,119.74674,great,no risk, No maintenance required
125,119.99264,great,no risk, No maintenance required
125,117.057205,great,no risk, No maintenance required
124,116.89,great,no risk, No maintenance required
123,118.782486,great,no risk, No maintenance required
122,117.271,great,no risk, No maintenance required
121,116.9784,great,no risk, No maintenance required
120,117.54294,great,no risk, No maintenance required
119,117.78846,great,no risk, No maintenance required
118,117.30151,great,no risk, No maintenance required
117,114.88981,great,no risk, No maintenance required
116,115.066315,great,no risk, No maintenance required
115,112.31737,great,no risk, No maintenance required
114,110.386566,great,no risk, No maintenance required
113,111.03874,great,no risk, No maintenance required
112,112.751305,great,no risk, No maintenance required
111,111.16953,great,no risk, No maintenance required
110,111.3291,great,no risk, No maintenance required
109,111.78241,great,no risk, No maintenance required
108,111.48772,great,no risk, No maintenance required
107,113.47094,great,no risk, No maintenance required
106,114.98254,great,no risk, No maintenance required
105,115.152725,great,no risk, No maintenance required
104,112.83215,great,no risk, No maintenance required
103,115.56506,great,no risk, No maintenance required
102,113.34155,great,no risk, No maintenance required
101,111.017075,great,no risk, No maintenance required
100,110.41383,great,no risk, No maintenance required
99,115.76454,great,no risk, No maintenance required
98,113.14795,great,no risk, No maintenance required
97,113.18089,great,no risk, No maintenance required
96,111.168884,great,no risk, No maintenance required
95,113.42059,great,no risk, No maintenance required
94,113.1581,great,no risk, No maintenance required
93,115.19148,great,no risk, No maintenance required
92,118.28372,great,no risk, No maintenance required
91,112.75718,great,no risk, No maintenance required
90,113.69165,great,no risk, No maintenance required
89,112.95239,great,no risk, No maintenance required
88,113.38139,great,no risk, No maintenance required
87,111.72681,great,no risk, No maintenance required
86,108.326454,great,no risk, No maintenance required
85,107.211945,great,no risk, No maintenance required
84,108.2662,great,no risk, No maintenance required
83,107.90243,great,no risk, No maintenance required
82,106.55045,great,no risk, No maintenance required
81,108.08053,great,no risk, No maintenance required
80,108.2622,great,no risk, No maintenance required
79,107.18799,great,no risk, No maintenance required
78,112.469055,great,no risk, No maintenance required
77,113.0165,great,no risk, No maintenance required
76,110.8873,great,no risk, No maintenance required
75,108.03891,great,no risk, No maintenance required
74,106.92506,great,no risk, No maintenance required
73,104.69292,great,no risk, No maintenance required
72,98.53172,good, medium risk,continue monitoring
71,91.46547,good, medium risk,continue monitoring
70,91.21701,good, medium risk,continue monitoring
69,82.264984,good, medium risk,continue monitoring
68,82.00257,good, medium risk,continue monitoring
67,79.499146,good, medium risk,continue monitoring
66,75.82707,good, medium risk,continue monitoring
65,77.51695,good, medium risk,continue monitoring
64,84.45029,good, medium risk,continue monitoring
63,96.91777,good, medium risk,continue monitoring
